Sub_Division,YEAR,JUN,JUL,AUG,SEP,JUN-SEP,AVG_RAINFALL,YOY_CHANGE,LAG_1,LAG_2
ASSAM & MEGHALAYA,1930,690.4,287.0,439.6,299.9,1716.9,429.225,59.80000000000018,1657.1,1650.0
ASSAM & MEGHALAYA,1931,606.0,656.5,282.2,331.3,1876.0,469.0,159.0999999999999,1716.9,1657.1
ASSAM & MEGHALAYA,1932,629.5,457.5,469.4,355.8,1912.2,478.05,36.200000000000045,1876.0,1716.9
ASSAM & MEGHALAYA,1933,479.9,428.8,506.5,242.5,1657.6,414.425,-254.60000000000014,1912.2,1876.0
ASSAM & MEGHALAYA,1934,760.0,556.4,365.3,246.7,1928.4,482.1,270.8000000000002,1657.6,1912.2
ASSAM & MEGHALAYA,1935,698.1,396.6,576.7,335.8,2007.3,501.8,78.89999999999986,1928.4,1657.6
ASSAM & MEGHALAYA,1936,458.0,562.2,356.4,285.1,1661.7,415.42499999999995,-345.5999999999999,2007.3,1928.4
ASSAM & MEGHALAYA,1937,424.6,411.4,480.9,277.6,1594.5,398.625,-67.20000000000005,1661.7,2007.3
ASSAM & MEGHALAYA,1938,585.9,512.3,438.2,434.5,1970.9,492.72499999999997,376.4000000000001,1594.5,1661.7
ASSAM & MEGHALAYA,1939,533.3,486.9,224.1,388.4,1632.6,408.17499999999995,-338.3000000000002,1970.9,1594.5
ASSAM & MEGHALAYA,1940,502.0,437.7,332.3,355.5,1627.4,406.875,-5.199999999999818,1632.6,1970.9
ASSAM & MEGHALAYA,1941,547.4,411.9,364.1,367.4,1690.8,422.70000000000005,63.399999999999864,1627.4,1632.6
ASSAM & MEGHALAYA,1942,617.7,333.9,328.4,464.2,1744.2,436.05,53.40000000000009,1690.8,1627.4
ASSAM & MEGHALAYA,1943,517.1,394.9,417.9,365.9,1695.7,423.95000000000005,-48.5,1744.2,1690.8
ASSAM & MEGHALAYA,1944,491.4,388.6,304.3,456.6,1640.8,410.225,-54.90000000000009,1695.7,1744.2
ASSAM & MEGHALAYA,1945,501.2,507.4,497.2,282.6,1788.5,447.1,147.70000000000005,1640.8,1695.7
ASSAM & MEGHALAYA,1946,582.8,550.0,298.8,265.8,1697.5,424.34999999999997,-91.0,1788.5,1640.8
ASSAM & MEGHALAYA,1947,487.2,571.9,287.9,362.6,1709.5,427.4,12.0,1697.5,1788.5
ASSAM & MEGHALAYA,1948,602.4,539.8,451.5,315.5,1909.1,477.29999999999995,199.5999999999999,1709.5,1697.5
ASSAM & MEGHALAYA,1949,688.3,445.1,460.0,390.7,1984.0,496.02500000000003,74.90000000000009,1909.1,1709.5
ASSAM & MEGHALAYA,1950,564.6,390.5,489.1,201.6,1645.8,411.45,-338.20000000000005,1984.0,1909.1
ASSAM & MEGHALAYA,1951,593.0,554.4,388.3,208.4,1744.1,436.02500000000003,98.29999999999995,1645.8,1984.0
ASSAM & MEGHALAYA,1952,403.1,577.8,467.1,343.4,1791.4,447.85,47.30000000000018,1744.1,1645.8
ASSAM & MEGHALAYA,1953,407.8,462.9,285.3,454.9,1611.0,402.725,-180.4000000000001,1791.4,1744.1
ASSAM & MEGHALAYA,1954,597.4,575.7,426.1,217.9,1817.1,454.275,206.0999999999999,1611.0,1791.4
ASSAM & MEGHALAYA,1955,548.4,567.7,419.0,284.5,1819.5,454.9,2.400000000000091,1817.1,1611.0
ASSAM & MEGHALAYA,1956,718.4,443.3,383.2,172.6,1717.5,429.375,-102.0,1819.5,1817.1
ASSAM & MEGHALAYA,1957,445.1,407.7,370.0,208.9,1431.7,357.925,-285.79999999999995,1717.5,1819.5
ASSAM & MEGHALAYA,1958,392.9,366.5,547.8,282.8,1590.0,397.49999999999994,158.29999999999995,1431.7,1717.5
ASSAM & MEGHALAYA,1959,514.4,366.2,256.2,287.1,1423.8,355.975,-166.20000000000005,1590.0,1431.7
ASSAM & MEGHALAYA,1960,457.8,559.0,352.6,485.7,1855.1,463.77500000000003,431.29999999999995,1423.8,1590.0
ASSAM & MEGHALAYA,1961,344.5,359.5,353.4,230.4,1287.8,321.95000000000005,-567.3,1855.1,1423.8
ASSAM & MEGHALAYA,1962,608.7,344.2,518.3,138.3,1609.6,402.375,321.79999999999995,1287.8,1855.1
ASSAM & MEGHALAYA,1963,605.9,562.4,435.9,211.8,1815.9,453.99999999999994,206.30000000000018,1609.6,1287.8
ASSAM & MEGHALAYA,1964,557.4,605.0,344.7,326.0,1833.1,458.27500000000003,17.199999999999818,1815.9,1609.6
ASSAM & MEGHALAYA,1965,505.8,405.6,425.4,306.7,1643.5,410.87500000000006,-189.5999999999999,1833.1,1815.9
ASSAM & MEGHALAYA,1966,789.5,510.0,523.4,249.1,2072.0,518.0,428.5,1643.5,1833.1
ASSAM & MEGHALAYA,1967,397.4,495.2,261.0,303.5,1457.1,364.275,-614.9000000000001,2072.0,1643.5
ASSAM & MEGHALAYA,1968,594.5,488.8,347.6,231.8,1662.8,415.675,205.70000000000005,1457.1,2072.0
ASSAM & MEGHALAYA,1969,567.4,468.0,450.9,184.8,1671.1,417.77500000000003,8.299999999999955,1662.8,1457.1
ASSAM & MEGHALAYA,1970,666.4,480.8,391.6,402.0,1940.8,485.20000000000005,269.70000000000005,1671.1,1662.8
ASSAM & MEGHALAYA,1971,442.8,408.9,481.3,231.5,1564.5,391.125,-376.29999999999995,1940.8,1671.1
ASSAM & MEGHALAYA,1972,583.7,443.2,273.8,228.0,1528.7,382.175,-35.799999999999955,1564.5,1940.8
ASSAM & MEGHALAYA,1973,633.2,360.8,401.6,351.1,1746.7,436.67499999999995,218.0,1528.7,1564.5
ASSAM & MEGHALAYA,1974,634.7,793.0,515.4,436.9,2380.0,595.0,633.3,1746.7,1528.7
ASSAM & MEGHALAYA,1975,338.8,526.2,316.2,300.1,1481.3,370.32500000000005,-898.7,2380.0,1746.7
ASSAM & MEGHALAYA,1976,502.0,392.6,356.7,148.8,1400.1,350.025,-81.20000000000005,1481.3,2380.0
ASSAM & MEGHALAYA,1977,394.7,465.6,458.3,172.7,1491.2,372.825,91.10000000000014,1400.1,1481.3
ASSAM & MEGHALAYA,1978,491.4,441.5,251.8,272.3,1457.0,364.25,-34.200000000000045,1491.2,1400.1
ASSAM & MEGHALAYA,1979,306.4,628.8,255.7,342.0,1532.9,383.22499999999997,75.90000000000009,1457.0,1491.2
ASSAM & MEGHALAYA,1980,389.5,453.0,411.2,266.1,1519.8,379.95000000000005,-13.100000000000136,1532.9,1457.0
ASSAM & MEGHALAYA,1981,275.0,547.7,345.3,278.6,1446.6,361.65,-73.20000000000005,1519.8,1532.9
ASSAM & MEGHALAYA,1982,520.3,551.8,380.2,294.9,1747.1,436.79999999999995,300.5,1446.6,1519.8
ASSAM & MEGHALAYA,1983,368.6,594.4,421.4,454.0,1838.5,459.6,91.40000000000009,1747.1,1446.6
ASSAM & MEGHALAYA,1984,481.6,1008.8,366.5,456.5,2313.4,578.35,474.9000000000001,1838.5,1747.1
ASSAM & MEGHALAYA,1985,501.7,735.6,358.2,340.3,1935.8,483.95,-377.60000000000014,2313.4,1838.5
ASSAM & MEGHALAYA,1986,404.2,471.4,420.2,439.8,1735.6,433.9,-200.20000000000005,1935.8,2313.4
ASSAM & MEGHALAYA,1987,540.6,775.7,441.4,452.7,2210.4,552.6,474.8000000000002,1735.6,1935.8
ASSAM & MEGHALAYA,1988,400.9,654.6,774.0,338.1,2167.5,541.9,-42.90000000000009,2210.4,1735.6
ASSAM & MEGHALAYA,1989,488.3,759.2,271.7,425.8,1944.9,486.25,-222.5999999999999,2167.5,2210.4
ASSAM & MEGHALAYA,1990,506.8,446.5,353.4,443.8,1750.5,437.62499999999994,-194.4000000000001,1944.9,2167.5
ASSAM & MEGHALAYA,1991,516.3,426.4,389.6,431.5,1763.7,440.95,13.200000000000045,1750.5,1944.9
ASSAM & MEGHALAYA,1992,450.4,492.6,340.1,299.4,1582.5,395.625,-181.20000000000005,1763.7,1750.5
ASSAM & MEGHALAYA,1993,614.6,586.3,475.1,302.8,1978.9,494.7,396.4000000000001,1582.5,1763.7
ASSAM & MEGHALAYA,1994,484.7,312.7,316.6,183.2,1297.2,324.3,-681.7,1978.9,1582.5
ASSAM & MEGHALAYA,1995,672.3,564.6,547.6,405.6,2190.1,547.525,892.8999999999999,1297.2,1978.9
ASSAM & MEGHALAYA,1996,408.7,525.6,433.1,230.2,1597.6,399.40000000000003,-592.5,2190.1,1297.2
ASSAM & MEGHALAYA,1997,570.2,519.9,314.4,375.4,1779.9,444.975,182.30000000000018,1597.6,2190.1
ASSAM & MEGHALAYA,1998,585.3,608.5,563.0,219.8,1976.6,494.15,196.69999999999982,1779.9,1597.6
ASSAM & MEGHALAYA,1999,446.7,627.7,529.1,216.1,1819.6,454.9,-157.0,1976.6,1779.9
ASSAM & MEGHALAYA,2000,552.6,315.5,518.5,314.0,1700.6,425.15,-119.0,1819.6,1976.6
ASSAM & MEGHALAYA,2001,393.4,445.5,301.0,274.0,1413.9,353.475,-286.6999999999998,1700.6,1819.6
ASSAM & MEGHALAYA,2002,500.2,559.9,312.3,218.9,1591.2,397.825,177.29999999999995,1413.9,1700.6
ASSAM & MEGHALAYA,2003,573.0,481.2,299.7,249.6,1603.5,400.875,12.299999999999955,1591.2,1413.9
